states,x,y
andhra pradesh, -110.0, -186.0
arunachal pradesh, 226.0, 140.0
assam, 189.0, 96.0
bihar,56.0, 77.0
chhattisgarh, -21.0 ,-21.0
goa, -216.0, -174.0
gujarat, -248.0, 16.0
haryana, -134.0, 155.0
himachal pradesh, -116.0, 214.0
jharkhand, 36.0, 29.0
karnataka, -173.0, -186.0
kerala, -172.0 ,-299.0
madhya pradesh, -121.0, 14.0
maharashtra, -185.0, -72.0
manipur, 264.0, 60.0
meghalaya,164.0 ,73.0
mizoram, 243.0, 12.0
nagaland,275.0, 98.0
odisha, 30.0, -41.0
punjab, -154.0, 195.0
rajasthan, -204.0, 99.0
sikkim,123.0, 139.0
tamilnadu, -117.0, -271.0
telangana, -93.0 ,-120.0
uttar pradesh, -61.0, 103.0
uttarakhand, -85.0, 176.0
west bengal, 97.0, 12.0
tripura, 181.0, 8.0

